time,volume,complete,o,h,l,c
2019-03-15 00:00:00+00:00,26,True,1.32562,1.32573,1.3253,1.3253
2019-03-15 00:10:00+00:00,46,True,1.32529,1.32529,1.32453,1.32461
2019-03-15 00:20:00+00:00,29,True,1.32457,1.32457,1.32428,1.32429
2019-03-15 00:30:00+00:00,12,True,1.32433,1.32444,1.32425,1.3243
2019-03-15 00:40:00+00:00,67,True,1.32426,1.32453,1.32385,1.32413
2019-03-15 00:50:00+00:00,46,True,1.32416,1.32441,1.32412,1.32413
2019-03-15 01:00:00+00:00,38,True,1.32409,1.32417,1.32354,1.32367
2019-03-15 01:10:00+00:00,91,True,1.32371,1.32371,1.32308,1.32322
2019-03-15 01:20:00+00:00,26,True,1.32326,1.32342,1.32324,1.32342
2019-03-15 01:30:00+00:00,55,True,1.32347,1.32409,1.32342,1.32355
2019-03-15 01:40:00+00:00,34,True,1.32352,1.32373,1.32331,1.32331
2019-03-15 01:50:00+00:00,20,True,1.3233,1.32351,1.32322,1.32348
2019-03-15 02:00:00+00:00,30,True,1.32353,1.32373,1.32352,1.32363
2019-03-15 02:10:00+00:00,31,True,1.32366,1.32392,1.32355,1.32392
2019-03-15 02:20:00+00:00,50,True,1.32395,1.32426,1.32384,1.32422
2019-03-15 02:30:00+00:00,32,True,1.32423,1.32461,1.32423,1.32461
2019-03-15 02:40:00+00:00,38,True,1.32459,1.32459,1.32411,1.32454
2019-03-15 02:50:00+00:00,74,True,1.32459,1.32518,1.32459,1.32518
2019-03-15 03:00:00+00:00,195,True,1.32516,1.32551,1.32452,1.32491
2019-03-15 03:10:00+00:00,75,True,1.32495,1.32534,1.3245,1.32459
2019-03-15 03:20:00+00:00,71,True,1.32455,1.32455,1.32399,1.32439
2019-03-15 03:30:00+00:00,11,True,1.32444,1.32456,1.32437,1.32451
2019-03-15 03:40:00+00:00,15,True,1.32455,1.32455,1.32433,1.32434
2019-03-15 03:50:00+00:00,23,True,1.32436,1.3244,1.32402,1.32425
2019-03-15 04:00:00+00:00,28,True,1.32419,1.32439,1.32413,1.32424
2019-03-15 04:10:00+00:00,13,True,1.32427,1.3243,1.32417,1.3242
2019-03-15 04:20:00+00:00,16,True,1.32416,1.3243,1.32416,1.3242
2019-03-15 04:30:00+00:00,29,True,1.32417,1.32448,1.32402,1.32447
2019-03-15 04:40:00+00:00,16,True,1.32442,1.32464,1.32442,1.32452
2019-03-15 04:50:00+00:00,6,True,1.32449,1.32449,1.32431,1.32431
2019-03-15 05:00:00+00:00,11,True,1.32432,1.32432,1.32399,1.32399
2019-03-15 05:10:00+00:00,21,True,1.32395,1.32395,1.32361,1.32362
2019-03-15 05:20:00+00:00,21,True,1.32359,1.3237,1.32351,1.32357
2019-03-15 05:30:00+00:00,17,True,1.3236,1.32391,1.3236,1.32383
2019-03-15 05:40:00+00:00,12,True,1.32386,1.32402,1.32386,1.32402
2019-03-15 05:50:00+00:00,30,True,1.324,1.324,1.32333,1.32333
2019-03-15 06:00:00+00:00,27,True,1.32333,1.32373,1.32333,1.32366
2019-03-15 06:10:00+00:00,33,True,1.32368,1.32405,1.32368,1.32405
2019-03-15 06:20:00+00:00,34,True,1.32401,1.32421,1.32383,1.32383
2019-03-15 06:30:00+00:00,41,True,1.32386,1.32412,1.32383,1.32395
2019-03-15 06:40:00+00:00,70,True,1.3239,1.3249,1.32384,1.32485
2019-03-15 06:50:00+00:00,48,True,1.32484,1.32487,1.32463,1.32472
2019-03-15 07:00:00+00:00,150,True,1.32468,1.32558,1.32442,1.32544
2019-03-15 07:10:00+00:00,124,True,1.32539,1.32555,1.32482,1.32555
2019-03-15 07:20:00+00:00,69,True,1.32551,1.32551,1.32494,1.32517
2019-03-15 07:30:00+00:00,96,True,1.32513,1.32526,1.32441,1.32463
2019-03-15 07:40:00+00:00,928,True,1.32461,1.32486,1.32041,1.32099
2019-03-15 07:50:00+00:00,459,True,1.32102,1.32229,1.32019,1.32226
2019-03-15 08:00:00+00:00,487,True,1.32221,1.32255,1.32123,1.32199
2019-03-15 08:10:00+00:00,363,True,1.32202,1.32281,1.32137,1.32247
2019-03-15 08:20:00+00:00,308,True,1.32245,1.32388,1.32239,1.32371
2019-03-15 08:30:00+00:00,187,True,1.32368,1.32368,1.32281,1.32303
2019-03-15 08:40:00+00:00,115,True,1.32299,1.32368,1.32289,1.32357
2019-03-15 08:50:00+00:00,266,True,1.32353,1.32471,1.32343,1.32444
2019-03-15 09:00:00+00:00,209,True,1.32441,1.32497,1.32401,1.32404
2019-03-15 09:10:00+00:00,134,True,1.32401,1.32411,1.32358,1.32381
2019-03-15 09:20:00+00:00,134,True,1.32386,1.32419,1.32352,1.32381
2019-03-15 09:30:00+00:00,118,True,1.32378,1.32459,1.32356,1.32457
2019-03-15 09:40:00+00:00,216,True,1.32455,1.32527,1.32451,1.32521
2019-03-15 09:50:00+00:00,344,True,1.32523,1.32638,1.32513,1.32596
2019-03-15 10:00:00+00:00,250,True,1.32595,1.32654,1.32553,1.32634
2019-03-15 10:10:00+00:00,277,True,1.32639,1.32769,1.32614,1.32769
2019-03-15 10:20:00+00:00,148,True,1.32766,1.32766,1.32682,1.32712
2019-03-15 10:30:00+00:00,86,True,1.3271,1.32748,1.32699,1.3274
2019-03-15 10:40:00+00:00,169,True,1.32737,1.32742,1.32607,1.32612
2019-03-15 10:50:00+00:00,329,True,1.32616,1.32636,1.32473,1.32536
2019-03-15 11:00:00+00:00,288,True,1.32538,1.32557,1.32469,1.32496
2019-03-15 11:10:00+00:00,155,True,1.32501,1.32523,1.32478,1.32516
2019-03-15 11:20:00+00:00,200,True,1.32518,1.32602,1.32518,1.32586
2019-03-15 11:30:00+00:00,72,True,1.32585,1.32589,1.32534,1.32573
2019-03-15 11:40:00+00:00,139,True,1.32576,1.32627,1.32555,1.32626
2019-03-15 11:50:00+00:00,139,True,1.3263,1.32659,1.32582,1.32625
2019-03-15 12:00:00+00:00,235,True,1.32622,1.32622,1.32482,1.3252
2019-03-15 12:10:00+00:00,178,True,1.32514,1.32516,1.32435,1.3245
2019-03-15 12:20:00+00:00,368,True,1.32452,1.32519,1.32352,1.32368
2019-03-15 12:30:00+00:00,347,True,1.32361,1.32456,1.32345,1.3236
2019-03-15 12:40:00+00:00,226,True,1.32356,1.32393,1.3233,1.32331
